Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5312","Area harvested","01441","Linseed","2023","2023","ha","238731","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01441","Linseed","2023","2023","kg/ha","698.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01441","Linseed","2023","2023","t","166753.17","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2023","2023","ha","10743603","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","3544.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2023","2023","t","38085256.41","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01316","Mangoes, guavas and mangosteens","2023","2023","ha","2698000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01316","Mangoes, guavas and mangosteens","2023","2023","kg/ha","9724.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01316","Mangoes, guavas and mangosteens","2023","2023","t","26236000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0118","Millet","2023","2023","ha","9163754","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0118","Millet","2023","2023","kg/ha","1474","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2023","2023","t","13507041","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2023","2023","t","315000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01950.01","Natural rubber in primary forms","2023","2023","ha","374826","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01950.01","Natural rubber in primary forms","2023","2023","kg/ha","2265.1","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2023","2023","t","849000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","356","India","5312","Area harvested","01653","Nutmeg, mace, cardamoms, raw","2023","2023","ha","111000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01653","Nutmeg, mace, cardamoms, raw","2023","2023","kg/ha","486.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01653","Nutmeg, mace, cardamoms, raw","2023","2023","t","54000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01239.01","Okra","2023","2023","ha","549000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01239.01","Okra","2023","2023","kg/ha","13038.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01239.01","Okra","2023","2023","t","7158000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","ha","1740000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","kg/ha","17360.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","t","30208000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01323","Oranges","2023","2023","ha","231000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01323","Oranges","2023","2023","kg/ha","17000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01323","Oranges","2023","2023","t","3927000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01241.90","Other beans, green","2023","2023","ha","236777","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01241.90","Other beans, green","2023","2023","kg/ha","2838.4","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01241.90","Other beans, green","2023","2023","t","672063.42","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2023","2023","ha","326","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2023","2023","kg/ha","6900.1","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2023","2023","t","2250.34","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2023","2023","ha","97000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01329","Other citrus fruit, n.e.c.","2023","2023","kg/ha","7350.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01329","Other citrus fruit, n.e.c.","2023","2023","t","713000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01359.90","Other fruits, n.e.c.","2023","2023","ha","1316209","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01359.90","Other fruits, n.e.c.","2023","2023","kg/ha","8655.7","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01359.90","Other fruits, n.e.c.","2023","2023","t","11392661.61","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01449.90","Other oil seeds, n.e.c.","2023","2023","ha","107138","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01449.90","Other oil seeds, n.e.c.","2023","2023","kg/ha","313.8","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01449.90","Other oil seeds, n.e.c.","2023","2023","t","33617.04","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01709.90","Other pulses n.e.c.","2023","2023","ha","2221797","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01709.90","Other pulses n.e.c.","2023","2023","kg/ha","438.2","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01709.90","Other pulses n.e.c.","2023","2023","t","973660.76","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01699","Other stimulant, spice and aromatic crops, n.e.c.","2023","2023","ha","731780","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01699","Other stimulant, spice and aromatic crops, n.e.c.","2023","2023","kg/ha","2114","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2023","2023","t","1546994.67","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01349.20","Other stone fruits","2023","2023","ha","605","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01349.20","Other stone fruits","2023","2023","kg/ha","3913.8","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01349.20","Other stone fruits","2023","2023","t","2366.95","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01319","Other tropical fruits, n.e.c.","2023","2023","ha","455342","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01319","Other tropical fruits, n.e.c.","2023","2023","kg/ha","13020.2","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01319","Other tropical fruits, n.e.c.","2023","2023","t","5928649.47","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2023","2023","ha","2963992","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01290.90","Other vegetables, fresh n.e.c.","2023","2023","kg/ha","14386.5","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2023","2023","t","42641573.72","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01317","Papayas","2023","2023","ha","148000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01317","Papayas","2023","2023","kg/ha","35405.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01317","Papayas","2023","2023","t","5240000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01345","Peaches and nectarines","2023","2023","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5510","Production","01345","Peaches and nectarines","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01342.01","Pears","2023","2023","ha","35000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01342.01","Pears","2023","2023","kg/ha","7742.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01342.01","Pears","2023","2023","t","271000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01705","Peas, dry","2023","2023","ha","838961","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01705","Peas, dry","2023","2023","kg/ha","1352.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01705","Peas, dry","2023","2023","t","1134336.56","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01242","Peas, green","2023","2023","ha","609000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01242","Peas, green","2023","2023","kg/ha","10824.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01242","Peas, green","2023","2023","t","6592000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01651","Pepper (Piper spp.), raw","2023","2023","ha","126667","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01651","Pepper (Piper spp.), raw","2023","2023","kg/ha","519","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01651","Pepper (Piper spp.), raw","2023","2023","t","65739.64","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01707","Pigeon peas, dry","2023","2023","ha","4068434","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01707","Pigeon peas, dry","2023","2023","kg/ha","814","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01707","Pigeon peas, dry","2023","2023","t","3311532.36","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01318","Pineapples","2023","2023","ha","108000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01318","Pineapples","2023","2023","kg/ha","16925.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01318","Pineapples","2023","2023","t","1828000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01346","Plums and sloes","2023","2023","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5510","Production","01346","Plums and sloes","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01321","Pomelos and grapefruits","2023","2023","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5510","Production","01321","Pomelos and grapefruits","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01448","Poppy seed","2023","2023","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5510","Production","01448","Poppy seed","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01510","Potatoes","2023","2023","ha","2332000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2023","2023","kg/ha","25789.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01510","Potatoes","2023","2023","t","60142000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01235","Pumpkins, squash and gourds","2023","2023","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5510","Production","01235","Pumpkins, squash and gourds","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01443","Rape or colza seed","2023","2023","ha","8851524","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01443","Rape or colza seed","2023","2023","kg/ha","1428.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01443","Rape or colza seed","2023","2023","t","12643196.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2023","2023","ha","47828000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2023","2023","kg/ha","4322.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2023","2023","t","206727000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01446","Safflower seed","2023","2023","ha","108927","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01446","Safflower seed","2023","2023","kg/ha","826.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01446","Safflower seed","2023","2023","t","90002.46","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01921.01","Seed cotton, unginned","2023","2023","ha","12926801","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01921.01","Seed cotton, unginned","2023","2023","kg/ha","1268.7","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01921.01","Seed cotton, unginned","2023","2023","t","16400000","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01444","Sesame seed","2023","2023","ha","1523064","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01444","Sesame seed","2023","2023","kg/ha","526.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01444","Sesame seed","2023","2023","t","802138.08","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0114","Sorghum","2023","2023","ha","3534721","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0114","Sorghum","2023","2023","kg/ha","1079.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0114","Sorghum","2023","2023","t","3814176.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0141","Soya beans","2023","2023","ha","13084089","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0141","Soya beans","2023","2023","kg/ha","1145.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0141","Soya beans","2023","2023","t","14984927.37","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01802","Sugar cane","2023","2023","ha","5885317","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01802","Sugar cane","2023","2023","kg/ha","83348.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01802","Sugar cane","2023","2023","t","490533351.06","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01445","Sunflower seed","2023","2023","ha","364450","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01445","Sunflower seed","2023","2023","kg/ha","996.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01445","Sunflower seed","2023","2023","t","363136.91","A","Official figure",""
